Question,Answer
5 应用类 -> 5.12 JSP 编译报错？,"问题现象：
报“quoted with [""] which must be escaped when used within the value”错，如下所示。
```txt
2022-06-14 11:24:55 [WARN] - com.tongweb.jasper.JasperException: /index2.jsp (line: [11], column: [45])  
Attribute value [String.valueOf(""aa"")] is quoted with [""] which must be escaped when used within the value  
2022-06-14 11:24:55 [WARN] - at  
com.tongweb.jasper.compile.DefaultErrorHandler.jspError(DefaultErrorHandler.java:26)  
2022-06-14 11:24:55 [WARN] - at  
com.tongweb.jasper.compile.ErrorDispatcherdispatch(ErrorDispatcher.java:276) 
```
解决方案：
在应用配置中，关闭“Strict Quote Escaping”。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/07b41f1b079568c7f038696d631b80dba7975e0465a6ba891c1cf44d59896664.jpg)"
5 应用类 -> 5.13 应用部署缓存不足告警？,"问题现象：
报“because there was insufficient free space available after evicting expired cache entries - considerincreasing the maximum size of the cache”错，如下所示。
```txt
2022-06-14 12:16:39 [WARN] - Unable to add the resource at [/WEB-INF/classes/org/oasis_open/docs/wsrf/np_2/jaxb.properties] to the cache for web application [cxf] because there was insufficient free space available after evicting expired cache entries - consider increasing the maximum size of the cache  
2022-06-14 12:16:39 [WARN] - Unable to add the resource at [/WEB-INF/classes/org/oasis_open/docs/wsrf/np_2/jaxb.properties] to the cache for web application [cxf] because there was insufficient free space available after evicting expired cache entries - consider increasing the maximum size of the cache 
```
解决方案：
应用部署增大 “最大缓存大小”，通常大于应用所有 jar 的大小，通过应用监控缓存使用情况。
查看资源缓存量是否够用，再调整“最大缓存大小”。
1. 选择 “应用管理” $>$ “应用”，进入应用/列表页面。
2. 单击目标实例所在行的 “监视”，进入监视页面，查看资源缓存量是否够用。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/ddff3919c62ae6487762b4d86c48ea31257aae3a5541329509bba7b7f50aeed0.jpg)
3. 进入应用配置页面，对缓存进行调整。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/226afc546c2cfe5c8185da1b462777489b7bf6fd73d72b90fe9a0d683b425547.jpg)
注意：
切记盲目调大，典型毛病“999999999”。"
5 应用类 -> 5.14 WebService 异常报错？,"问题现象：
报错信息，如下所示。
```txt
Caused by: org.xml.sax.SAXParseException: 文件提前结束。  
at com.sun.org.apache.xerces/internal.parsers.DOMParser.parse(DOMParser.java:262)  
at com.sun.org.apache.xerces/internal.jaxp.DocumentBuilderImpl数据分析(DocumentBuilderImpl.java:339)  
at com.tongweb.ws.commons schemaXmlSchemaCollection$2.run(XmlSchemaCollection.java:651)  
at com.tongweb.wscommons schemaXmlSchemaCollection$2.run(XmlSchemaCollection.java:649)  
at java.security.AccessController.doPrivileged(Native Method)  
at com.tongweb.wscommons schemaXmlSchemaCollection数据分析(XmlSchemaCollection.java:649)  
at com.tongweb.wscommons schemaXmlSchemaCollection.read(XmlSchemaCollection.java:618)  
... 64 more
```
解决方案：
从异常“com.tongweb.ws.commons.schema”可以看出 TongWeb 的 WebService 参与了应用的 xml 处理。
可在部署应用时，勾选加载应用的 “Webservice” 或 “Web 兼容模式”，即可解决该问题。
注意：
1. 用户需要进入 “基础配置” $>$ “全局配置” $>$ “服务器” 页签，打开 “启用 Webservice” 开关。
2. 在应用的 “资源加载” 页面中 “加载应用实现” 里才会显示 “WebService”。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/7541951b1ae0692d7d3f9949364425d26693ce01ab52502e4ae6c16e3fca2e25.jpg)"
5 应用类 -> 5.15 与应用类冲突报错？,"问题现象：
```javascript
Caused by: java.lang.AbstractMethodError:  
javax.swing.core-UrlBuilder.uri(Ljava/lanl/String);Ljavax/ws/rs/core/UriBuilder;at javax.ws.rs.core.UrlBuilder.fromUri(UrlBuilder.java:96)at com.sun.JerseySpi container.servlet.ServletContainer.service(ServletContainer.java:669)at javax.swinghttp.HttpServlet.service(HttpServlet.java:590) 
```
解决方案：
在开启 “Web 兼容模式” 的情况下，依旧加载 “tongweb-jee-api.jar” 中的类，可以设置 “强制从应用加载的类” 来解决。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/272ef4768efb4dfc4805ac68364d102c94f098773d15847fd7d922baaf31d5db.jpg)"
5 应用类 -> 5.16 获取另一应用上下文为空？,"问题现象：
通过request.getServletContext().getContext(""/app"")获取另一应用上下文为空。
解决方案：
在应用配置的“安全”页签下，开启“允许跨应用访问”。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/f680bb5e231cb87b9a8eb479e9ff013e24d9e935175d0f7e8c547fac631eddb8.jpg)"
5 应用类 -> 5.17 编码设置问题？,"在遇到中文问题时，通常需要通过设置编码格式来解决问题。
下面介绍编码设置及优先级。
• web.xml中请求、响应编码的配置优先级最高
在JavaEE8规范中，web.xml 增加了 request、response编码配置，该配置优先级最高。
```xml
<?xml version=""1.0"" encoding=""UTF-8""?>   
<web-app xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://xmlns.jcp.org/XML/ns/javaee"" xsi: schemaLocation=""http://xmlns.jcp.org/XML/ns/javaee http://xmlns.jcp.org/XML/ns/javaee/webapp_4_0.xsd"" id=""WebApp_ID"" version=""4.0""> <display-name> charset</display-name> <default-context-path>/testde</default-context-path> <request-character-encoding>GBK</request-character-encoding> <response-character-encoding>GBK</response-character-encoding>   
... 
```
在以往的项目中，request、response 编码通常通过 filter 来设置，如下所示。
```txt
...
<filter-name>EncodingFilter</filter-name>
<filter-class>
    org.springframework.web.filter.CharacterEncodingFilter
</filter-class>
<init-param>
    <param-name>encoding</param-name>
    <param-value>UTF-8</param-value>
</init-param>
<init-param>
    <param-name>forceEncoding</param-name>
    <param-value>true</param-value>
</init-param>
... 
```
• 控制台编码设置
在部署应用时通过配置""编码""来完成。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/2d677fb9a10b61d1ee9cdc4b143e6ff6e1f4992a584840841717f80d9e488038.jpg)
参数说明，如下表所示。
<table><tr><td>参数</td><td>参数说明</td></tr><tr><td>应用请求编码</td><td>应用程序的默认 HTTP 请求编码，优先级低于 web.xml。</td></tr><tr><td>应用响应编码</td><td>应用程序的默认 HTTP 响应体编码，优先级低于 web.xml。</td></tr><tr><td>JSP 文件编码</td><td>指定 JSP 文件编码，相当于javaEncoding。</td></tr><tr><td>静态文件编码</td><td>使用指定的编码解析应用的文件资源，如 *.html 等静态资源，可用于解决文件编码和 JVM 默认编码不一致引起的乱码问题。相当于fileEncoding。</td></tr></table>
• URL编码设置
为兼容 tomcat 编码，HTTP 通道中""其它""中的""URI 编码""相当于tomcat的URIEncoding；“URI 使用Content-Type 解码""相当于tomcat的useBodyEncodingForURI。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/a5453e75abbe791b969c29343f82d3b90da10b7a3475ba96ab8fcf2ef912c147.jpg)"
5 应用类 -> 5.18 应用慢线程检测问题？,"在应用运行过程中，可能会有一些线程因等待锁、阻塞导致执行时间慢。这时可以开启 TongWeb 的""慢线程检测""功能来排查问题。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/12ea84fed8e15933aedd585137aed512ede6697c38995370c64f7b436b2d7f24.jpg)
当 http 线程超过""阻塞阈值""时，则日志输出相应线程堆栈。通过大量收集该日志样本，以判断线程慢的原因。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/966bb408d8e4748ccb3517235464f7f56c31d7c01342002146ec8375386e4df7.jpg)
仅收集一、两个该日志，不能说明线程慢在该处。
2023-02-14 15:29:53 [WARN] - Thread [TW-0.0.0.0-8088-1] (id=[61]) has been active for [20,131] milliseconds (since [2/14/23 3:29 PM]) to serve the same request for [ http://192.168.55.159:8088/webtest01/TestServlet] and may be stuck ( configured threshold for this StuckThreadDetectionValve is [20] seconds). There is/are [1] thread(s) in total that are monitored by this Valve and may be stuck. java.lang.Throwable 
```txt
at java.lang.Thread.sleep(Native Method)   
at com.tong.TestServlet.doGet(TestServlet.java:41)   
at javax.servlet.http(HttpServlet.service(HttpServlet.java:503)   
at javax.servlet.http HttpServlet.service(HttpServlet.java:590)   
at com.tongweb.server.core.ApplicationFilterChain.entryApp(ApplicationFilterChain.java:365) 
```
""中断阈值""通常不建议开启，因为实际应用场景中线程有业务相关逻辑，中断线程可能造成业务的不完整。若能确保中断线程无问题，则可开启。相关日志如下所示。
```txt
2023-02-14 15:29:59 [WARN] - Thread [TW-0.0.0.0-8088-1] (id=[61]) has been interrupted because it was active for [26,177] milliseconds (since [2/14/23 3:29 PM]) to serve the same request for [ http://192.168.55.159:8088/webtest01/TestServlet] and was probably stuck (configured interruption threshold for this StuckThreadDetectionValve is [25] seconds). java.lang.Throwable at java.lang.Thread.sleep(Native Method)   
at com.tong.TestServlet.doGet(TestServlet.java:41)   
at javax.servlet.http(HttpServlet.service(HttpServlet.java:503)   
at javax.servlet.http HttpServlet.service(HttpServlet.java:590)   
at com.tongweb.server.core.ApplicationFilterChain.enterApp(ApplicationFilterChain.java:365) 。。。。。。。。   
2023-02-14 15:30:01 [WARN] - Thread [TW-0.0.0.0-8088-1] (id=[61]) was previously reported to be stuck but has completed. It was active for approximately [26,177] milliseconds. 
```
""中断阈值""只中断 TongWeb 的 http 线程，若应用自建线程出现阻塞，可通过""监视管理"">""阻塞线程""查看，该功能为监控的JVM所有线程。""强停""功能同样谨慎使用。
阻塞线程 $\bullet$ /列表☆  
线程ID 线程名 线程状态 阻塞方法  
相同阻塞 Q搜索  
序号 线程ID 线程名 线程状态 阻塞方法 相同阻塞线程数 操作  
1 118 Thread-31 TIMED_WAITING java.lang.Thread.sleep(NativeMethod) 1 X强停  
2 18 mysql-cj-abandoned-connection-cleanup TIMED_WAITING java.lang.Object.wait(NativeMethod) 1 X强停
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/9857f9149af77b0bc9a6689ed04a34696b2c702d7a57b068c7c3fa6b4c7048cb.jpg)
当遇到线程阻塞类问题时，主要通过 TongWeb 提供的线程堆栈来分析问题，从应用侧来解决。对于""中断阈值"", ""阻塞线程""的""强停""功能需谨慎使用。
若http通道的线程和队列占满，则报错，如下所示。
```txt
2023-02-24 13:58:57.963 [WARN] [TW-0.0.0.0-8088-ClientPoller] [com.tongweb.web.util threads] - Executor  
rejected socket [ com.tongweb.web.util.net.NioEndpoint\$Nio SOCKETWrapper@fa310e2:  
com.tongweb.web.util.net2023-02-24 13:58:57.963 [WARN] [TW-0.0.0.0-8088-ClientPoller]  
[com.tongweb.web.utilThreads] - Executor rejected socket  
[com.tongweb.web.util.net.NioEndpoint\$Nio SOCKETWrapper@fa310e2:com.tongweb.web.util.net.NioChannel@1  
2bd59a6:java.nio_channels.SocketChannel[connected local=/127.0.0.1:8088 remote=/127.0.0.1:64068]] for  
processing java.util.concurrent-RejectedExecutionException: Queue capacity is full 
```
at com.tongweb.web.utilThreads.ThreadPoolExecutor.execute ThreadPoolExecutor.java:138)   
at com.tongweb.web.utilThreads.ThreadPoolExecutor execute( ThreadPoolExecutor.java:109)   
at com.tongweb.web.util.netat   
com.tongweb.web.util.net.AbstractEndpoint(processSocket( AbstractEndpoint.java:938)   
at com.tongweb.web.util.netat   
com.tongweb.web.util.net.NioEndpoint\\(Poller.processKey(NioEndpoint.java:1366)   
at com.tongweb.web.util.net.NioEndpoint\\)Poller.run(NioEndpoint.java:1338)   
at java.lang.Thread.run( Thread.java:750)"
5 应用类 -> 5.19 如何更好的兼容 Web 应用？ -> 5.19.1 开启“轻量模式”对整个 TongWeb 生效,"此模式会关闭 EJB、JCA 等服务，并尝试从应用自身加载 JSF、JavaMail、WebService、Xml 等技术实现。若应用是基于 Tomcat 或其它 Servlet 容器开发，则通常可以获得更好的兼容性。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/875d5e10324219bbd2c906318b26ac559a69582ba92983418a3c01fc9166b90f.jpg)"
5 应用类 -> 5.19 如何更好的兼容 Web 应用？ -> 5.19.2 部署应用时开启“web兼容模式”,"以 Web 兼容模式加载该应用。若该应用是基于 Tomcat 等 Web 容器开发，则可以尝试打开此开关以获得更好的兼容性。
开启此模式后，EJB 等企业级技术实现将不再支持，同时尝试从应用自身加载
JSF、JavaMail、WebService、Xml 等企业级技术实现。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/577b4c751e27d894d5a2d6dc6f8c4c808613e05bfd16ab61145148a0fb667635.jpg)"
5 应用类 -> 5.20 什么情况下开启 “Web兼容模式” 或 “轻量模式”？,"• Web兼容模式
“Web 兼容模式” 仅对单个应用生效，是用户在部署应用时，对单个应用的配置，属于应用内存级别的隔离，隔离效果有限。
当用户需要同时部署 EJB 和 Web 应用的情况下，单独对 Web 应用开启。
• 轻量模式
轻量模式是全局生效，隔离更彻底，等同于 TongWeb 轻量级版本的物理级隔离。
若用户只有 Web 应用而没有 EJB 应用，推荐使用“轻量模式”。"
5 应用类 -> 5.21 从 root 用户切换到普通用户后，再启动 TongWeb，报错 “The scratchDir you specified:[xxxx] isunusable”？,"问题描述：
从 root 用户切换到普通用户后，启动 TongWeb，系统报错 “The scratchDir you specified:[xxxx] isunusable”？
1. TongWeb 安装目录的权限给到 777 。
2. 使用 root 用户启动 TongWeb，并部署一个 war 应用，然后访问应用。
3. 关闭 TongWeb。
4. 切换到普通用户（如：test）启动 TongWeb。
5. 启动后，系统报错 “The scratchDir you specified:[xxxx] is unusable”。
部署的 war 应用，点击链接报错。
```txt
2025-02-27 10:30:45 [INFO] - default: Failed to mkdirs of ExtremeMode_p_c.  
2025-02-27 10:30:45 [ERROR] - The scratchDir you specified: [/home/ domains/domain1/temp/cache/work/admin/admin/console] is unusable.  
2025-02-27 10:30:45 [INFO] - contextRoot: console  
2025-02-27 10:30:45 [INFO] - --admin -> console deployed in 58128 ms  
2025-02-27 10:30:45 [INFO] - --localhost -> TestProject, priority 99  
2025-02-27 10:30:46 [INFO] - Init service: Default Managed Container  
2025-02-27 10:30:46 [INFO] - Creating a container for bean TestProject.Comp1562090557: Container(type=MANAGED, id=Default Managed Container)  
2025-02-27 10:30:46 [INFO] - Creating Container(id=Default Managed Container)  
2025-02-27 10:30:46 [INFO] - Stateful session passivation directory: temp/cache/ejb  
2025-02-27 10:30:46 [INFO] - Application loaded: deployment/TestProject  
2025-02-27 10:30:46 [INFO] - Assembling app: deployment/TestProject  
2025-02-27 10:30:46 [INFO] - Deploying app: deployment/TestProject  
2025-02-27 10:30:47 [INFO] - Scanned JAR without TLD, consider skipping unneeded JARs.  
2025-02-27 10:30:47 [INFO] - ----TestListener----  
2025-02-27 10:30:47 [ERROR] - The scratchDir you specified: [/home/ domains/domain1/temp/cache/work/server/localhost/TestProject] is unusable.  
2025-02-27 10:30:47 [INFO] - contextRoot: TestProject  
2025-02-27 10:30:47 [INFO] - --localhost -> TestProject deployed in 1307 ms  
2025-02-27 10:30:47 [INFO] - Server startup in 63 seconds  
2025-02-27 10:30:47 [INFO] - 
```
原因分析：
切换为普通用户后，root 用户生成的 temp 文件导致部署的应用异常。
解决方案：
使用普通用户启动 TongWeb 前，删除 “${tongweb.base}/temp” 文件夹。"
6 数据源类 -> 6.1 如何快速回收数据库连接？,"基于数据源连接池的设计，空闲连接的回收机制是依赖连接的时间戳来判定是否需要回收，即便只有一个连接在循环使用连接池，也会顺次“激活”所有的连接，使得所有连接的时间戳始终是新的，因此不会被回收。只有在没有任何请求的情况下，超过最大空闲时间才会被回收掉。
对于需要快速回收数据库连接的场景，用户可尝试开启 “使用 LIFO 队列” 功能，使用后进先出类型的队列存储数据库连接。
“使用 LIFO 队列” 默认“开启”。
若没有开启，用户可参照如下操作步骤，开启 “使用 LIFO 队列” 功能。
1. 登录 TongWeb 管理控制台。
2. 切换到目标实例。
3. 在左侧菜单栏中，选择 “Web 容器” $>$ “数据源”，进入数据源列表页面。
4. 打开已创建的数据源，单击 “连接池”，进入连接池页签。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/86b0a6086ec8f6eccbee813ae0931a6ed5a56ae24402259b86c235d814c0ed41.jpg)
5. 打开 “使用 LIFO 队列” 开关。
6. 开启完成后，单击 “更新”，即可完成 “使用 LIFO 队列” 的开启操作。"
6 数据源类 -> 6.2 如何获取数据库连接池关联的物理连接？,"首先通过JNDI获取到连接池返回的逻辑连接，然后调用
com.tongweb.tongejb.resource.jdbc.managed.util.NativeJdbcExtractor 类（所在jar包位
于${tongweb.home}/version<版本号>/modules/ejb/tongweb-ejb.jar）的 extractNativeConnection 方法
，将前面获取到的逻辑连接作为参数传递给此方法，该方法返回的结果即为该逻辑连接关联的物理连接。"
7 EJB服务类 -> 7.1 无状态会话Bean实例总数的监视为何会有跌落回升表现？,无状态会话Bean实例在使用完毕后会进入“重新初始化”状态，此时会从池中移除，因此看到实例总数跌落，待初始化完毕后会重新回到池中，此时可以看到总数又回升。
7 EJB服务类 -> 7.2 使用w3协议，首次访问ejb应用可以成功，过10秒后再次访问应用，会出现空白页并抛异常？,"解决方案：
• 方案一：
修改“EJB w3协议”>“连接配置”>“读超时时间”，把值改大一些。
把“读超时时间”调大，连接保持时间会更久一些。
• 方案二：
在“基础配置”>“启动参数”，添加 -Dtongejb.client.keepalive=PING_PONG 。
添加启动参数，性能会稍微降低。"
8 监视类 -> 8.1 监视数据为 -1？,监视数据为 -1，表示相应的监视功能未开启。
8 监视类 -> 8.2 无法监控到应用数据源？,"• 使用监控应用数据源功能，需要进入“基础配置”>“全局配置”>“应用”，在应用页面，打开 “监视应用数据源”开关。并且，在应用数据源初始化完成后，才能监控到。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/7a14e119e9a1abbfe5686a5b4fae99b5dfc097e3ef2506f74642c93fe42c2b7d.jpg)
• 请确保 JDBC 连接池类型为 HikariCP、Druid、DBCP、C3P0、BeeCP、BoneCP、Tomcat 或者 Hulk。
• DBCP、C3P0、BoneCP 目前暂不支持监控“线程等待数”，即该监控值始终为 “-1”。"
9 日志类 -> 9.1 异常日志：All other methods are uncovered,"在web.xml中指定deny-uncovered-http-methods元素，在<web-resource-collection>使用<http-method>只配置了部分HTTP方法时，例如：
```xml
<deny-uncovered-http-methods/>   
<security-constraint>   
<display-name>Example Security Constraint</display-name>   
<web-resource-collection>   
<web-resource-name>Protected Area</web-resource-name>   
<url-pattern>/successful.jsp</url-pattern>   
<http-method>DELETE</http-method>   
<http-method>GET</http-method>   
<http-method>POST</http-method>   
<http-method>PUT</http-method>   
</web-resource-collection>   
<auth-constraint>   
<role-name>admin</role-name>   
</auth-constraint>   
</security-constraint> 
```
如果在web.xml文件中指定了deny-uncovered-http-methods元素，那么容器将拒绝任何未涵盖的HTTP方法，并返回403(SC_FORBIDDEN)状态码。 应用部署时会记录日志信息：
```txt
Adding security constraints with URL pattern [/successful.jsp] to deny access with the uncovered HTTP methods that are not one of the following [DELETE POST GET PUT]. 
```
如果未在web.xml文件中指定deny-uncovered-http-methods元素，将不会增加配置的URL Pattern的安全约束。 应用部署时会记录错误日志信息：
```txt
For security constraints with URL pattern [/successful.jsp] only the HTTP methods [DELETE POST GET PUT] are covered. All other methods are uncovered. 
```"
10 安全类 -> 10.1 启动 TongWeb 后，修改并保存console.xml，文件的修改被还原？,"TongWeb 提供“服务器主配置文件防篡改”功能，该功能默认为开启状态。
开启后，禁止在 TongWeb 运行期间对主配置文件 tongweb.xml、console.xml 等进行修改。
若被意外篡改，则自动进行恢复。
若需要关闭该功能，可进入“安全管理”>“安全策略”>“文件防篡改”，进入文件防篡改页签，可关闭“服务器主配置文件防篡改”。
为保证服务器主配置文件安全不被篡改，不建议关闭。"
11 通知类 -> 11.1 通知的详情表示什么含义？,当有系统配置属性改变，服务器需要重新启动才能生效时，系统会给出一条通知，其“详情”一般表示具体的发送变化的属性名，以及其变化前后的值。若变化的属性有多个，则会以分号分隔来表示。此外，属性发生变化后，若再次编辑将其恢复为启动之初的值，则重启 TongWeb 通知会取消。
11 通知类 -> 11.2 通知的内容是什么？,"• 通知的内容范围力求包含所有需要管理员介入的操作提醒，一般包含系统模块变更后的重启 TongWeb提醒信息和许可即将到期或已经过期的提醒信息。
• 可发布通知的模块包括但不局限于 “全局配置”、“无状态 EJB”、“有状态 EJB”、“单例 EJB”、“EJB 连接”、“启动参数”、“系统日志” 以及授权到期的提醒。
• 控制台上显示的通知条目不会自动更新，需要手动刷新网页以更新。"
12 其他类 -> 12.1 高并发压测只有5个工作线程？,可能和授权（license.dat）有关，试用和教学用的授权有最大并发处理线程为5的限制，请尝试检查并更换授权以解决此问题。
12 其他类 -> 12.2 服务器返回的密码全是固定的*号？,此设计是出于安全考虑的，密码不能泄漏出去，即使加密了也不能。
12 其他类 -> 12.3 SSL 加密套件在 IBM 平台和其它平台不一致？,"IBM MQ 支持的 CipherSpec 及其对应的 CipherSuite： https://www.ibm.com/docs/zh/ibm-mq/9.1?
topic=java-tls-cipherspecs-ciphersuites-in-mq-classes"
12 其他类 -> 12.4 IP 匹配规则是什么？,"信任的IP、拦截的IP、爬虫的IP均使用如下统一匹配规则：
1. 支持通配符*，比如10.10.45.*
2. 支持指定IP区间，比如10.10.45.1-10.10.45.250
3. 支持指定的IP，比如0.10.45.5
4. 支持同时指定多个规则，规则之间使用英文逗号分隔。比如10.10.45.*,10.10.45.1-10.10.45.250
5. 以上规则同时支持ipv4和ipv6"
12 其他类 -> 12.5 如何通过 TongWeb JCA 连接消息服务器 IBM MQ？,"以下是使用 TongWeb JCA 连接消息服务器 IBM MQ 的详细配置步骤：
1. 获取 IBM MQ 自带的 rar 适配器
◦ 文件名： wmq.jmsra.rar
◦ 默认路径：通常位于 “${IBMMQ_HOME}/java/lib” 目录
2. 部署 rar 适配器
a. 在 TongWeb 控制台的左侧菜单栏中，选择 “应用管理” > “应用”，进入应用列表页面。
b. 单击 “部署”，进入应用部署页面。
c. 上传 rar 适配器，并单击 “添加”，完成 rar 适配器的部署。
3. 创建连接池 testc
a. 在 TongWeb 控制台的左侧菜单栏中，选择 “EJB 容器” > “JCA 连接池”，进入 JCA 连接池页面。
b. 配置 JCA 连接池。
▪ 连接池名称：testc
▪ 连接定义：javax.jms.QueueConnectionFactory
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/3516983a208577b39a28cb3a8e9100f796a49a98bea08955a05ce7c22f04b4c4.jpg)
c. 配置其他属性。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/8fa4fa113d150133f2b287639fbcfdd17b5afae448dafffd6d3fdb315d083a93.jpg)
d. 单击 “添加”，完成 JCA 连接池 testc 的创建。
4. 创建托管对象 testd
a. 在 TongWeb 控制台的左侧菜单栏中，选择 “EJB 容器” > “JCA 托管对象”，进入 JCA 托管对象页面。
b. 配置 JCA 托管对象。
▪ 托管对象名称：testd
▪ 资源类型：javax.jms.Queue
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/8db3659929f500580413993c35a8f96410cb8966767cf5e0cb81f6d890062a3c.jpg)
c. 配置其他属性。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/c5df70a55162b1a0e8683144e3a1126b014ae78baa05913594e2869fe9d9b5c3.jpg)
d. 配置完成后，单击 “添加”，完成 JCA 托管对象 testd 的创建。
5. 部署并访问 TongWeb 自带用例 jmsExample
注：自带用例 jmsExample.war 位于 “${tongweb.home}/version*/examples” 目录中。
a. 在 TongWeb 控制台的左侧菜单栏中，选择 “应用管理” > “应用”，进入应用列表页面。
b. 单击 “部署”，进入应用部署页面。
c. 上传 jmsExample.war 应用，并单击 “添加”，完成 jmsExample.war 应用的部署。
2.0.0.1:8088/jmsExample/ 
点对点消息模式中的消息收发例子：
应用前缀/MessageSend
应用前缀/MessageReceive
说明：
通过上图中的两个链接，即可实现消息的收发测试。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/57a28c246c9283274cc316b7eb3ad5bb63c97c449af3404212e1f3f8d974de48.jpg)"
