question,answer,keywords
审计日志配置的相关参数保存在 conf/tongw...,审计日志配置的相关参数保存在 conf/tongweb.xml 配置文件中的 tongweb > server > loggers > audit 节点。相关参数说明如下： useSystemConfig： 使用系统配置，指定是否使用“服务器日志”模块的日志文件相关的配置，若不使用，则可以自行定制。 baseFile： 文件目录，将日志文件存放到指定的目录下。 rotationByDay： 按天轮转，将每日未达到大小阈值的日志在零点切割到一个新文件中。 rotationBySize： 按大小轮转，当日志文件大小（单位：MB）达到该阈值时，将切割出一个新的日志文件。 keepMaxFiles： 保留文件个数，指定在清理日志文件时，须保留文件的个数。 charset： 文件编码，指定日志文件的编码格式。 buffered： 缓冲写入，是否开启文件缓冲写入功能。开启后，当持续记录的日志内容大小（单位：字节）之和达到缓冲大小时才一次性写入文件，而不是每条日志都立即写入文件（在服务器停止时会全部写入），这通常可以提高日志记录性能。关闭后，每条日志都立即写入文件。 bufferedSize： 缓冲大小，缓冲写入的阈值，当持续记录的日志内容大小（单位：字节）之和达到此值时，一次性写入进文件。 compression： 日志文件压缩，是否开启日志文件压缩功能。开启后，对轮转后的日志文件进行压缩。,
查看审计日志的操作步骤如下：。 1. 以安全审计员账...,查看审计日志的操作步骤如下：。 1. 以安全审计员账号（auditor）登录 TongWeb 管理控制台。 2. 在控制台左上角，单击“集中管理”，进入集中管理页面。 3. 在左侧导航栏中，选择“日志管理”>“审计日志”，进入审计日志页面。 4. 您可以查看服务器的审计日志，包含操作时间、管理员、操作对象、操作类型、操作结果、请求地址、客户端IP等。,
用户可审计日志页面，选择查看已归档的日志文件。在线...,用户可审计日志页面，选择查看已归档的日志文件。在线查看已归档日志的操作步骤如下：。 1. 以安全审计员账号（auditor）登录 TongWeb 管理控制台。 2. 在控制台左上角，单击“集中管理”，进入集中管理页面。 3. 在左侧导航栏中，选择 “日志管理” > “审计日志”，进入审计日志页面。 4. 在 “日志文件” 下拉列表中，选择指定日期的日志文件，如下图所示。 5. 选择完成后，单击 “搜索”，即可在线查看已归档的日志文件。,
搜索审计日志的操作步骤如下：。 1. 进入审计页面。...,搜索审计日志的操作步骤如下：。 1. 进入审计页面。 2. 在搜索栏中，根据需要选择输入操作时间、管理员、操作对象、操作类型、操作结果、请求地址或者客户端IP地址。例如：搜索操作对象“home”。 3. 单击“搜索”，即可搜索指定日志信息。,
TongWeb8 日志推送可以将 TongWeb...,TongWeb8 日志推送可以将 TongWeb 的运行日志实时推送到远端日志存储服务器（如 Elasticsearch）上，以便于统一管理。开启本功能后，TongWeb 的日志除了在本地文件存储之外，还会推送到指定的日志存储服务器。推送的日志包括 服务器日志（server.log）、访问日志（access.log）和 审计日志（audit.log）。请注意：当无法连接到日志服务器时，日志推送将会失败，并且目前 TongWeb 不会进行补充推送。 开启日志推送的操作步骤如下：。 1. 登录 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧菜单栏中，选择 “日志管理” > “日志推送”，进入日志推送页面。 4. 打开 “启用” 开关。 5. 配置 “推送地址”、“用户名”以及“密码”等。 6. 单击 “ES 配置”，配置 Elasticsearch 服务器存放日志数据的索引。请确保日志数据索引的唯一性。 7. 配置完成后，单击 “更新”，完成日志推送的配置操作。若界面弹出 “日志推送更新出成功” 提示信息，则说明开启日志推送成功。,
未命名知识点,,
未命名知识点,,
tongweb8支持的 JDK 版本,JDK8-JDK21。 • 支持 Oracle JDK，但部分 Oracle JDK 版本商用收费，在生产使用时请注意商业授权，或采用 Open JDK、Tong JDK。 • 启用国密认证，JDK 要求 JDK8-JDK11。 • 使用虚拟线程，JDK 要求 JDK21。 • 需要安装 JDK，不能仅安装 JRE。仅安装 JRE 会导致 TongWeb 部分功能不能使用。 • Linux 下若使用 IBM JDK，则需要手动放置如下 jar 包到 “${tongweb.home}/lib/compatible” 目录，否 则启动 TongWeb 失败。 ◦ JDK 8.0 bcprov-jdk15on-1.70.jar。 ◦ JDK 8.0+ bcprov-jdk18on-1.78.1.jar,jdk
tongweb8支持的操作系统,• Windows： Microsoft Windows系列。 • Linux： RedHat系列、Suse Linux系列、麒麟操作系统、统信 uos 操作系统、中科方德操作系统等。 • Mac OS： Mac OS 系列,操作系统
tongweb8支持的数据库,主流数据库：Oracle、MySQL5、MySQL8、Sybase。 15、dameng、Kingbase、Kingbase8、Oscar、HSQL、Sybase type 4 for Sybase 11.x、jtds sybase、postgreSQL、SQLServer、Derby Client、Derby Embedded、IBM Type。 4、gbase8t、gbase8s、sr、db2、highgo、uxdb、GaussDB 100、InspurK_x0002_DB、linkoopdb、oceanbase、MogDB 等。,数据库
tongweb8登录时验证码问题,"在一些平台上，验证码无法正常显示，有两种解决方法（择其一即可）。 • 方法一：修改服务器 tongweb.xml（打开 Headless 系统配置模式） 。 ◦ 系统默认开启 “服务器主配置文件防篡改”，TongWeb 运行期间禁止对主配置文件 “tongweb.xml” 进行 修改。 ◦ 若需要修改 “tongweb.xml”，请确保 TongWeb 服务器处于停止状态或 “服务器主配置文件防篡改”（可 进入 “安全管理” > “安全策略” > “文件防篡改” 模块修改）关闭。 1. 进入 “${tongweb.base}/conf” 目录。 2. 打开 “tongweb.xml” 文件。 3. 将 “-Djava.awt.headless=true” 功能打开，如下所示。 <arg enabled=""true"">-Djava.awt.headless=true</arg> 该操作可兼容大部分平台，该参数由 JDK 提供，打开后可能对应用性能有所影响。 • 方法二：修改服务器 console.xml（禁用验证码功能） 。 ◦ 系统默认开启 “服务器主配置文件防篡改”，TongWeb 运行期间禁止对主配置文件 “console.xml” 进行修 改。 ◦ 若需要修改 “console.xml”，请确保 TongWeb 服务器处于停止状态或 “服务器主配置文件防篡改”（可进 入 “安全管理” > “安全策略” > “文件防篡改” 模块修改）关闭。 1. 进入 “${tongweb.base}/conf” 目录。 2. 打开 “console.xml” 文件。 3. 将 “VerCodeEnabled” 参数设置为 “false”，可禁用验证码功能",验证码
问题现象： 启动 TongWeb 服务器后，通过命令修改密码时报错，如“连接失败，请检查连接的主机、端口是否正确或目标TongWeb 是否已启动”。,"原因分析： 连接主机的端口号不正确，不再是默认的“9060”。 解决方案： 在执行的命令中，添加 “--port”，指向实际的端口。 1. 进入 “${tongweb.base}/conf” 目录。 2. 打开 “tongweb.xml” 文件，查看并获取控制台的端口，如 “8090”。 <connector SSLEnabled=""true"" address=""0.0.0.0"" clientAuth=""false"" keystoreFile=""conf/server.keystore"" keystorePass=""jo+fvRppEjYJWnAqSYOpfg=="" maxSwallowSize=""2097152"" maxThreads=""24"" minSpareThreads=""5"" name=""admin"" port=""8090"" scheme=""https"" secure=""true"" sslEnabledProtocols=""TLSv1.2"" sslProtocol=""TLSv1.2"" systemManaged=""true"" truststoreFile=""conf/server.keystore"" truststorePass=""jo+fvRppEjYJWnAqSYOpfg==""/> 。 3. 执行命令时，添加 “--port” 指向实际端口 “8090”，如下所示。 sh commandstool.sh --model=password --action=update --username=thanos --password=thanos123.com。 --acceptAgreement=true --port=8090 originalPassword=thanos123.com newPassword=Thanos12.com confirmPassword=Thanos12.com。 4. 命令执行完成后，即可查看到“修改密码更新成功”的提示信息。",命令
出于安全考虑，TongWeb 对于非信任 IP 禁止登录 TongWeb 管理控制台。用户将无法进行任何操作。 默认仅安装 TongWeb 的本机受信任。 当使用远程浏览器访问 TongWeb 控制台前，请在安装 TongWeb 的本机将远程浏览器所在主机的 IP 设置 为“信任 IP”。 信任 IP 可为具体的 IP、匹配 IP 的正则表达式或通配符 IP（如：168.1.2.*，168.1.4.5-168.1.4.99）。 设置为 “*” 表示信任所有机器（不建议）。,方式一：控制台设置信任IP 需要浏览器所在 IP 是服务器本机或者已受信任。 控制台设置信任IP。 1. 登录 TongWeb 管理控制台。 2. 在控制台左上角，单击“集中管理”，进入集中管理页面。 3. 在左侧导航栏中，选择“安全配置”>“控制台安全”，进入控制台安全页面。 4. 配置信任IP。 指定信任的客户端 IP 地址，其值可为具体的 IP、匹配 IP 的正则表达式或通配符 IP（如：168.1.2.* ，168.1.4.5-168.1.4.99）。 5. 配置完成后，单击“更新”，即可完成控制台安全的配置。 若界面弹出“控制台安全更新成功”，则说明控制台安全配置成功。 方式二：命令行设置信任IP 启动TongWeb，并进入 “${tongweb.home}/bin” 目录，执行如下命令，设置信任IP。 如下以信任IP为“192.168.1.1”为例说明。 sh commandstool.sh --username=thanos --password=Thanos12.com --acceptAgreement=true。 --model=consolesecurity --action=update trustedIP=192.168.1.1 若设置的是正则表达式，则需要先进行编码，编码方式如下所示。 1. 进入TongWeb管理控制台。 2. 切换到目标实例。 3. 选择“基础配置”>“加密工具”，进入加密工具页面。 4. 加密类型选择“特殊字符”。 5. 单击“加密”，即可得到加密结果。 方式三：通过修改 console.xml 文件。 • 系统默认开启 “服务器主配置文件防篡改”，TongWeb 运行期间禁止对主配置文件 “tongweb.xml” 或 “console.xml” 进行修改。 • 若需要修改 “console.xml”，请确保 TongWeb 服务器处于停止状态或 “服务器主配置文件防篡改”（“安全管 理” > “安全策略” > “文件防篡改”）关闭。 console.xml 文件路径 “${tongweb.base}/conf/”。 为 console 节点添加或者修改 “trustedIP” 属性，设置完成后，需要重启 TongWeb 服务器，方可生效。 “trustIP” 可以设置为 IP、匹配 IP 的正则表达式或者通配符 IP。 如下以将 trustIP 设置为 IP 地址为例进行说明。 <console trustedIP=”192.168.1.1”>,信任ip
动态密码绑定不成功或登录验证不通过,请确保服务器时间和手机时间保持一致。,登录验证
开启动态密码后，密钥丢失，登录不成功,"若动态密码丢失，您可以修改“${tongweb.base}/conf/console.xml” 里的 name=""用户名"" 节点的 “enableOtp” 值的方式关闭动态密码。 注意事项 console.xml 为 TongWeb 主配置文件，具有防篡改限制。若需要修改并使其生效，请先停止 TongWeb 服 务器，然后再进行修改。 操作步骤。 1. 进入 “${tongweb.base}/conf” 目录。 2. 打开 “console.xml” 文件。 3. 将丢失密钥账户对应的 “enableOtp” 字段修改为 “false”，即可关闭动态密码。 4. 修改完成后，保存并退出。 5. 启动 TongWeb 服务器。 6. 登录 TongWeb 控制台时，可发现不输入动态密码，可成功登录到控制台。",密钥
密码丢失，如何找回密码,"可通过修改 “${tongweb.base}/conf/console.xml” 里的 name=""用户名"" 节点的 password 值的方式重置为 初始密码。 注意事项 console.xml 为 TongWeb 主配置文件，具有防篡改限制。若需要修改并使其生效，请先停止 TongWeb 服 务器，然后再进行修改。 操作步骤。 1. 进入 “${tongweb.base}/conf” 目录。 2. 打开 “console.xml” 文件。 3. 将丢失账户（如 “thanos” ）对应的 “password” 字段修改为如下字符串，即可重置为初始密 码“thanos123.com”。 44D3$2$0B8AA118786066B2A9DF05A44B342AE2FC147F2164B5A9F232259E50DE5D9F1C$SHA-256。 4. 将丢失账户（如 “thanos” ）对应的 “changeInitPwd” 字段修改为 “true”，要求该账户登录时，必须修改 初始密码。 5. 修改完成后，保存并退出。 6. 启动 TongWeb 服务器。 7. 使用重置后的初始密码，即可成功登录 TongWeb 控制台。",密码
同一用户登录控制台后，再使用REST/JMX/命令行等接口接入，浏览器上的会话被强制退出,为了保证用户的登录安全，当使用某用户通过浏览器登录控制台后，若再使用相同的用户通过 REST\JMX\命令行等接口接入，该用户在浏览器上的会话会被强制终止（即被踢出，需要重新登录）。,会话超时
问题现象： 确认 TongWeb 并未启动，但系统提示 TongWeb 已启动，如下所示。 [tongtech@backup bin]s ./startserver.shExecute the comand: serverThe server is starting.ommandsstart> has beenexecuted.tongtech@backup bin]s Ready to <start> TongWeb: /home/tongtech/TongWebx.x.x.x/domains/domainl,解决方案： 请尝试删除 “${tongweb.base}/logs” 目录下的 “tongweb.pid”，然后重试。,启动
指定启动 TongWeb 使用的 java 路径,"指定启动TongWeb的java路径，按照优先级别可设置：。 1. 打开 “${tongweb.base}/conf/tongweb.xml” 文件。 2. 在 <environments> 标签下，添加如下标签。 <env name=""JAVA_HOME"" value=""指定java路径（注意是bin的父目录）""/>。 3. 修改当前用户的环境变量 JAVA_HOME，指定的启动 TongWeb 的java路径（注意是bin的父目录）。 4. 当前环境变量 PATH 中的第一个 java 路径。",jdk
"问题现象： 2024-07-16 17:01:17 >>> Ready to <start> TongWeb: domains/domain1 Exception in thread ""main"" java.lang.IllegalArgumentException: java.lang.NullPointerException at com.tongweb.BaseUtil.parseServerLic(Unknown Source) at com.tongweb.BaseUtil.getServerLic(Unknown Source) at com.tongweb.server.util.LicUtils.getServerLic(Unknown Source) at com.tongweb.main.TongWebMain.c(Unknown Source) at com.tongweb.main.TongWebMain.main(Unknown Source) Caused by: java.lang.NullPointerException at java.io.StringReader.<init>(StringReader.java:61) at com.tongweb.BaseUtil.a(Unknown Source) ... 5 more 2024-07-16 17:01:18 >>> Command <start> has been executed.",解决方案：。 1. 手动将如下 jar 包放置于 “${tongweb.home}/lib/compatible” 目录。 ◦ JDK 8.0 bcprov-jdk15on-1.70.jar。 ◦ JDK 8.0+ bcprov-jdk18on-1.78.1.jar。 2. 重新启动 TongWeb 服务器即可。,IBM
某些平台启动过慢,"此问题源自Java语言的底层设计，解决办法：。 1. 打开 tongweb.xml 文件。 2. 将 <arg enabled=""true"">-Djava.security.egd=file:/dev/./urandom</arg> 节点的 enabled 属性设置为 true 或 false 以观察效果。",启动慢
启动失败报授权解密相关错误,"由于授权问题导致启动失败，其提示信息均为： Exception in thread ""main"" java.lang.RuntimeException: License error! Run version.[sh | bat] for detail. 此设计是出于安全考虑的，可在一定程度上防止追踪破解授权代码。 如此的提示信息难以了解具体的启动失败原因，您可以根据提示执行 version 脚本以得到更加详细的信息",License
集中管理中，启动实例失败时，找不到日志,在集中管理中，若启动实例失败，可优先在 server.log 中查找失败日志。 若在 server.log 中没有找到相关日志，再前往 “domain1/logs/subprocess” 目录中，查找最新时间的日志。 日志名称格式：类型-名称-时间戳.log 例如：TDG-TTT-20231010*.log,集中管理日志
集中管理所在节点故障，如何恢复,若集中管理所在节点故障，可通过如下方式恢复对各节点的集中管理。 • 通过自动备份的 tongweb.xml 和 console.xml文件进行恢复。 tongweb.xml & console.xml备份路径：${tongweb.base}/data/conf/。 16。 • 若配置文件丢失，可重新添加各节点。,节点故障
如何查询受管实例的集中管理 IP,1. 打开受管实例的 “${tongweb.base}/conf/tongweb.xml” 文件。 2. 查看 <server> 标签的 “centralizedIp” 属性。 “centralizedIp” 属性记录了集中管理的 IP 地址。,集中管理IP
支持部署的应用类型有哪些,TongWeb 支持五种 JavaEE 应用文件的类型，包括 Web 应用、EJB 应用、Connector 应用、EAR 应用、其 他。有关应用类型的详细说明，请参见《TongWeb_V8.0控制台使用手册》。,应用类型
应用部署时间长或卡住不动,"原因分析： 可能是应用启动执行到某一初始化操作时间长引起的。 解决方案： 在应用部署过程中出现这种情况时，可以按照如下方式解决。 1. 重新刷新 TongWeb 管理控制台。 2. 打开“监视管理”>""阻塞线程""页面，找到""TW-0.0.0.0-9060-*""的部署线程。 3. 查看原因，通常是数据源阻塞、线程阻塞等问题。",部署应用超时
开启异步请求报空指针,部署应用选用线程池后，需要注意，访问应用响应时长超过通道中“异步请求的默认超时”时间后，会报请求 超时和空指针问题。,空指针
自动部署不生效,自动部署开关默认关闭。 若需要开启自动部署开关，请选择 “基础配置” > “全局配置” > “应用”，进入应用页面，打开“自动部署应用” 开关。 打开自动部署开关后，只需要将应用包拷贝到 “${tongweb.base}/autodeploy” 目录，即可自动部署该应 用。,自动部署
当从本地上传应用包到服务器时，由于应用包过大，超过 1 分钟都没有完成上传，日志提示不是一个有效的 应用。 报错信息，Caused by: com.tongweb.server.util.ErrorCodeExceptionImpl: errorCode:018 errorCode:018 ：无法正常识别应用类型，请检查要部署的应用文件是否合法,原因分析： 当应用包体积较大时，一旦开始上传，自动部署目录下会立即生成一个相应的目录，并且系统会尝试立即开 始部署流程。然而，由于此时文件尚未完全上传，系统日志中会记录一条错误信息，指出当前的应用不是一 个有效的应用包。 解决方案： 该报错信息并不会阻碍应用的部署进程；一旦文件全部上传完毕，应用便能顺利部署成功。 为了避免此类问题的发生，您可以参照如下步骤上传文件：。 1. 首先，将应用包上传到服务器的某个指定目录。 2. 然后，使用 mv 命令，将应用包作为一个整体一次性移动到自动部署目录中，即可避免文件不全的问题。,不是一个有效应用
问题1：自动部署导致应用无法完全卸载。 1. 开启自动部署，重启 TongWeb；。 2. 将 xx.war 文件放置于自动部署目录中，观察到生成了 xx.war.deployed 文件，表明应用已成功部署；。 3. 手动从自动部署目录中删除 xx.war 文件；。 4. 通过 TongWeb 打印的日志可以看到，应用卸载成功后，紧接着又去部署了 xx.war 应用。 问题2：应用升级出现重复应用。 1. 开启自动部署，重启 TongWeb；。 2. 把 xx.war 放入自动部署目录，确认应用已成功部署（生成了 xx.war.deployed）；。 3. 准备一个更新版本的 xx.war 文件，将其替换自动部署目录中原有的同名文件以进行升级操作；。 4. 登录 TongWeb 控制台，在 “应用” 列表中发现存在两个 xx.war 应用。,解决方案： 方式1：。 1. 释放 dll 本地库；。 2. 重启 TongWeb。 方式2： 为了避免此问题，您可以选择不升级或卸载应用，或者选择去控制台部署应用。 然而，在控制台部署应用后，如果您尝试点击卸载应用，虽然表面上看似卸载成功，但实际上手动去删除应 用，会提示 dll 被占用。要彻底删除应用，您必须先停止 TongWeb 服务。,应用卸载升级
自动部署目录下的应用文件被外部删除后，每次启动都 报找不到应用,屏蔽日志的方式：。 1. 在控制台上删除该应用；。 2. 修改 ${tongweb.base}/conf/tongweb.xml，将该应用对应的节点删除。,找不到应用
删除自动部署目录下的应用有.unDeployed 文件,这个文件是个标记，告诉用户出现这个表示卸载已成功结束，用户看到之后可自行选择删除这个文件，删除 不会有任何影响。,unDeployed
更新 JSP 文件后，没有实时生效,更新 JSP 文件后，若需要实时生效，请进入已部署应用的详细配置页面。在“JSP”页签下，开启“开启JSP开 发模式”开关。 开启 JSP 开发模式后，当有 JSP 文件更新时，更新的文件会在 5 秒内重新加载以生效。 若开启了资源缓存，生效时间会在资源的缓存时长后。,JSP
报“An invalid domain [.test.com] was specified for this cookie”错，如下所示。 2022-06-14 11:07:31 [WARN] - java.lang.IllegalArgumentException: An invalid domain [.test.com] was specified for this cookie 2022-06-14 11:07:31 [WARN] - at com.tongweb.web.util.http.Rfc6265CookieProcessor.validateDomain(Rfc6265CookieProcessor.java:202) 2022-06-14 11:07:31 [WARN] - at com.tongweb.web.util.http.Rfc6265CookieProcessor.generateHeader(Rfc6265CookieProcessor.java:137) 2022-06-14 11:07:31 [WARN] - at com.tongweb.server.connector.Response.generateCookieString(Response.java:960),在应用配置中，开启“使用老版 Cookie 处理器”。,"Cookie, 异常"
报“Invalid character found in the request target”错，如下所示。 2022-06-14 10:16:24 [INFO] - Error parsing HTTP request header Note: further occurrences of HTTP request parsing errors will be logged at DEBUG level. java.lang.IllegalArgumentException: Invalid character found in the request target [/dbpool/?aa=|ddd]]. The valid characters are defined in RFC 7230 and RFC 3986 at com.tongweb.coyote.http11.Http11InputBuffer.parseRequestLine(Http11InputBuffer.java:470) at com.tongweb.coyote.http11.Http11Processor.service(Http11Processor.java:212,"解决方案： 在目标 HTTP 通道中，开启“路径中允许使用的未编码字符”和“参数中允许使用的未编码字符”，并配置“"" < > [ \ ] ^ ` { | }”。 操作步骤，如下所示。 1. 登录管理控制台。 2. 切换到目标实例。 3. 在左侧菜单栏中，选择 “Web 容器” > “通道”，进入通道列表页面。 4. 单击目标通道的通道名，进入通道详细信息页面。 5. 单击 “HTTP 属性” 页签，打开 “路径中允许使用的未编码字符” 和 “参数中允许使用的未编码字符” 开 关。","URI, 非法字符"
"报“quoted with [""] which must be escaped when used within the value”错，如下所示。 2022-06-14 11:24:55 [WARN] - com.tongweb.jasper.JasperException: /index2.jsp (line: [11], column: [45]) Attribute value [String.valueOf(""aa"")] is quoted with [""] which must be escaped when used within the value 2022-06-14 11:24:55 [WARN] - at com.tongweb.jasper.compiler.DefaultErrorHandler.jspError(DefaultErrorHandler.java:26) 2022-06-14 11:24:55 [WARN] - at com.tongweb.jasper.compiler.ErrorDispatcher.dispatch(ErrorDispatcher.java:276)",解决方案： 在应用配置中，关闭“Strict Quote Escaping”。,JSP编译报错
问题现象： 报“because there was insufficient free space available after evicting expired cache entries - consider increasing the maximum size of the cache”错，如下所示。 2022-06-14 12:16:39 [WARN] - Unable to add the resource at [/WEB_x0002_INF/classes/org/oasis_open/docs/wsrf/rp_2/jaxb.properties] to the cache for web application [cxf] because there was insufficient free space available after evicting expired cache entries - consider increasing the maximum size of the cache 2022-06-14 12:16:39 [WARN] - Unable to add the resource at [/WEB_x0002_INF/classes/org/oasis_open/docs/wsrf/rp_2/jaxb.properties] to the cache for web application [cxf] because there was insufficient free space available after evicting expired cache entries - consider increasing the maximum size of the cache,解决方案： 应用部署增大 “最大缓存大小”，通常大于应用所有 jar 的大小，通过应用监控缓存使用情况。 查看资源缓存量是否够用，再调整“最大缓存大小”。 1. 选择“应用管理”>“应用”，进入应用/列表页面。 2. 单击目标实例所在行的“监视”，进入监视页面，查看资源缓存量是否够用。 3. 进入应用配置页面，对缓存进行调整。 注意： 切记盲目调大，典型毛病“999999999”。,缓存不足
问题现象： 报错信息，如下所示。 Caused by: org.xml.sax.SAXParseException: 文件提前结束。 at com.sun.org.apache.xerces.internal.parsers.DOMParser.parse(DOMParser.java:262) at com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderImpl.parse(DocumentBuilderImpl.java:339) at com.tongweb.ws.commons.schema.XmlSchemaCollection$2.run(XmlSchemaCollection.java:651) at com.tongweb.ws.commons.schema.XmlSchemaCollection$2.run(XmlSchemaCollection.java:649) at java.security.AccessController.doPrivileged(Native Method) at com.tongweb.ws.commons.schema.XmlSchemaCollection.parseDoPriv(XmlSchemaCollection.java:649) at com.tongweb.ws.commons.schema.XmlSchemaCollection.read(XmlSchemaCollection.java:618),解决方案： 从异常“com.tongweb.ws.commons.schema”可以看出 TongWeb 的 WebService 参与了应用的 xml 处理。 可在部署应用时，勾选加载应用的 “Webservice” 或 “Web 兼容模式”，即可解决该问题。 注意： 用户需要进入 “基础配置” > “全局配置”，打开 “启用 Webservice” 开关。在应用的 “资源加载” 页面中 “加 载应用实现” 里才会显示 “WebService”。,WebService报错
问题现象： Caused by: java.lang.AbstractMethodError: javax.ws.rs.core.UriBuilder.uri(Ljava/lang/String;)Ljavax/ws/rs/core/UriBuilder; at javax.ws.rs.core.UriBuilder.fromUri(UriBuilder.java:96) at com.sun.jersey.spi.container.servlet.ServletContainer.service(ServletContainer.java:669) at javax.servlet.http.HttpServlet.service(HttpServlet.java:590),解决方案： 在开启”Web兼容模式“的情况下，依旧加载“tongweb-jee-api.jar”中的类，可以设置”强制从应用加载的类“ 来解决。,"类冲突, AbstractMethodError"
"问题现象： 通过request.getServletContext().getContext(""/app"")获取另一应用上下文为空。",解决方案： 在应用配置的“安全”页签下，开启“允许跨应用访问”。,上下文空
在遇到中文问题时，通常需要通过设置编码格式来解决问题。,"下面介绍编码设置及优先级。 • web.xml中请求、响应编码的配置优先级最高 在JavaEE8规范中，web.xml 增加了 request、response编码配置，该配置优先级最高。 ... <?xml version=""1.0"" encoding=""UTF-8""?> <web-app xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://xmlns.jcp.org/xml/ns/javaee"" xsi:schemaLocation=""http://xmlns.jcp.org/xml/ns/javaee http://xmlns.jcp.org/xml/ns/javaee/web_x0002_app_4_0.xsd"" id=""WebApp_ID"" version=""4.0""> <display-name>charset</display-name> <default-context-path>/testde</default-context-path> <request-character-encoding>GBK</request-character-encoding> <response-character-encoding>GBK</response-character-encoding> ... 在以往的项目中，request、response 编码通常通过 filter 来设置，如下所示。 ... <filter-name>EncodingFilter</filter-name> <filter-class> org.springframework.web.filter.CharacterEncodingFilter </filter-class> <init-param> <param-name>encoding</param-name> <param-value>UTF-8</param-value> </init-param> <init-param> <param-name>forceEncoding</param-name> <param-value>true</param-value> </init-param> ...。 • 控制台编码设置 在部署应用时通过配置""编码""来完成。 参数说明，如下表所示。 应用请求编码 应用程序的默认 HTTP请求编码，优先级低于web.xml。 应用响应编码 应用程序的默认HTTP 响应体编码，优先级低于web.xml。 JSP 文件编码 指定 JSP文件编码,相当于javaEncoding。 静态文件编码 使用指定的编码解析应用的文件资源，如*.html 等静态资源，可用于解决文件编码和JVM默认编码不一致引起的乱码问题。相当于fileEncoding.。 • URL编码设置 为兼容 tomcat 编码，HTTP 通道中""其它""中的""URI 编码""相当于tomcat的URIEncoding；“URI 使用 Content-Type 解码""相当于tomcat的useBodyEncodingForURI。",编码
